county_fips_code,unr_16,funr_16,munr_16,unr_20to64,funr_20to64,munr_20to64,flfpr_20to64,flfpr_20to64_under6,flfpr_20to64_6to17,flfpr_20to64_under6_6to17,mlfpr_20to64,pr_f,pr_p,mhi_2018,me_2018,fme_2018,mme_2018,total_pop,one_race,one_race_w,one_race_b,one_race_i,one_race_a,one_race_h,one_race_other,two_races,hispanic,households,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,emp_m,memp_m,femp_m,emp_service,memp_service,femp_service,emp_sales,memp_sales,femp_sales,emp_n,memp_n,femp_n,emp_p,memp_p,femp_p,mcsa,mc_preschool
37103,8.92,8.62,9.17,7.6,7,8.2,60.5,67.5,62,62.6,76.3,18.8,26.2,36892,26361,23218,30793,9695,98.5,65.6,31.2,0.4,0.2,0,1,1.5,4.6,4137,174,106,0,131,400,343,0,305,24.54,20.84,28.93,18.32,10.52,27.58,19.53,12.17,28.26,19.15,33.11,2.58,18.45,23.35,12.64,89.49,115.99
37161,8.36,9.16,7.66,7.2,8.2,6.3,62,68.1,67.6,53.6,75.3,13.3,18,40347,27022,23073,30706,66532,98.2,86.3,9.7,0.5,0.4,0,1.3,1.8,4.2,26345,837,827,153,1429,3062,2337,352,2253,27.52,18.85,37.66,17.61,13.49,22.42,20.11,14.99,26.11,10.81,19.24,0.94,23.95,33.43,12.87,81.01,104.99
37107,12.28,14.2,10.55,11,12.6,9.6,68,75.5,79.4,68.9,79,18.6,23,38387,25315,23321,26739,57227,96.4,55,39.4,0.3,0.5,0,1.3,3.6,7.6,23121,1272,700,0,1687,2824,1068,93,3467,29.42,22.78,37.07,20.43,18.65,22.47,18.98,11.54,27.54,11.59,21.31,0.4,19.59,25.73,12.52,92.58,119.99
37041,11.04,7.52,13.86,9.5,8.2,10.7,61.2,19.9,72.2,69.8,80.7,16,19.6,42621,28758,20481,37721,14205,98.3,60.6,34.1,0.4,0.5,0,2.7,1.7,3.6,5984,116,104,0,369,635,137,92,777,25.81,21.89,30.37,25.32,22.03,29.15,20.91,8.58,35.26,5.53,9.97,0.36,22.43,37.53,4.85,77.15,99.99
37121,4.29,4.8,3.88,3.7,3.6,3.8,62.6,58.6,82.5,20.6,80.2,9.3,14,44186,29182,26684,30944,15040,98.5,96.4,0.4,0.4,0.3,0,1,1.5,5.3,6361,400,241,31,43,902,237,32,461,32.04,23.47,43.07,17.54,17.33,17.81,17.52,10,27.2,15.62,27.08,0.88,17.27,22.11,11.04,73.29,94.99
37109,6.35,6.59,6.15,5.8,6.2,5.5,69.3,67.6,79.2,65.6,83.9,11.3,14.4,53318,33266,29176,37249,81441,97.8,89.2,5,0.2,0.7,0,2.7,2.2,7.1,32022,1967,1135,85,1167,5760,1961,322,2408,29.96,24.33,36.76,14.56,13.04,16.39,24.02,15.66,34.12,11.28,19.84,0.94,20.18,27.14,11.79,100.29,129.99
37075,6.91,7.31,6.6,4.9,4,5.6,55.8,68.5,78.8,74.6,72.2,14.4,18.1,36525,24607,22134,25977,8557,99,87.8,0.2,10.5,0,0,0.5,1,1.5,3288,162,85,0,92,569,226,6,228,26.07,21.09,32.54,30.6,26.1,36.44,16.23,9.4,25.09,12.01,21.15,0.14,15.09,22.26,5.78,NA,NA
37019,6.33,6.84,5.84,5.4,6,4.8,65.7,76.5,78.2,68.6,76.4,9,12.9,54406,26745,22215,31236,126860,97.9,83.7,10.3,0.6,0.6,0,2.6,2.1,4.8,54226,2475,1098,106,1500,5544,2078,150,3779,29.72,26.44,33.26,22.03,18.28,26.08,24.3,14.98,34.33,12.62,23.29,1.14,11.32,17.01,5.2,101.83,131.99
37079,9.73,9.82,9.66,8.2,7.6,8.7,64.8,69.1,74.1,65.1,59.6,17.7,25.7,38306,25533,23121,27286,21008,97.2,58.4,35.7,0.5,0.1,0,2.5,2.8,14.8,7259,318,284,15,548,968,465,123,1051,25.65,18.5,34.77,17.93,13.94,23,13.14,6.7,21.34,18.66,30.5,3.58,24.63,30.36,17.31,88.72,114.99
37165,12.51,13.31,11.66,11.7,12.4,10.9,63.6,81.8,72.4,74.3,59.2,24.5,27.7,35617,26579,22395,30486,35262,97.5,44.4,39,11.5,0.8,0,1.9,2.5,2.9,13113,471,202,75,1490,1381,462,227,2380,27.8,20.84,34.59,21.39,19.86,22.88,20,11.78,28.01,7.35,13.81,1.06,23.46,33.72,13.46,80.65,104.54
37065,7.9,5.74,10.21,7.6,5.5,9.9,68.3,73.7,82,68.4,73.4,19.3,23.6,35516,25945,24830,27605,53332,98.1,38.5,57.3,0.2,0.1,0.1,2,1.9,4.4,21371,767,398,29,2099,2273,530,169,4026,26.4,18.37,33.57,19.83,16.98,22.36,21.14,12.19,29.11,9.9,19.87,1.02,22.73,32.59,13.94,87.95,113.99
37131,6.96,6.86,7.05,6.6,6.8,6.4,60.9,63.4,65.2,68.8,59.4,17.4,21.9,35499,26410,22833,28944,20186,97.8,40,56.5,0.6,0.2,0,0.5,2.2,2.1,8628,248,148,2,619,516,186,12,1138,30.04,22.9,37.37,16.08,9.5,22.83,19.47,13.16,25.94,13.19,24.73,1.34,21.22,29.7,12.52,87.06,112.85
