year,city,spend_per_resident_data,pct_near_park_points
2018,St. Louis,265,34
2018,St. Petersburg,137,26
2018,San Diego,141,28
2018,Milwaukee,131,34
2018,Plano,197,26
2018,Henderson,144,12
2018,Aurora,143,33
2018,Long Beach,208,30
2018,Sacramento,130,29
2018,Pittsburgh,100,32
2018,Lincoln,96,33
2018,New Orleans,162,28
2018,Denver,121,33
2018,San Jose,142,28
2018,Virginia Beach,188,19
2018,Boise,144,18
2018,Philadelphia,84,37
2018,Kansas City,126,21
2018,Fremont,123,19
2018,Omaha,79,28
2018,Raleigh,202,15
2018,Las Vegas,118,21
2018,Anchorage,98,24
2018,Cleveland,105,30
2018,Oakland,108,32
2018,Tampa,114,18
2018,Albuquerque,62,30
2018,Chesapeake,94,5
2018,Austin,108,18
2018,Atlanta,139,22
2018,Scottsdale,109,6
2018,Norfolk,80,25
2018,Colorado Springs,81,23
2018,Orlando,125,18
2018,Honolulu,57,21
2018,Dallas,108,18
2018,Miami,87,30
2018,Buffalo,54,33
2018,North Las Vegas,67,17
2018,Jersey City,29,36
2018,Nashville,100,6
2018,Lexington,83,14
2018,Phoenix,87,10
2018,Riverside,73,12
2018,Richmond,75,26
2018,Baltimore,78,32
2018,Tulsa,67,15
2018,Corpus Christi,71,26
2018,Columbus,104,14
2018,"Arlington, Texas",89,14
2018,Chandler,78,18
2018,Bakersfield,74,9
2018,Los Angeles,103,16
2018,San Antonio,93,6
2018,Anaheim,73,19
2018,Durham,68,12
2018,Greensboro,66,18
2018,Glendale,31,25
2018,Garland,66,18
2018,Newark,42,35
2018,Wichita,52,14
2018,Reno,50,26
2018,Chula Vista,44,16
2018,Houston,38,12
2018,El Paso,34,13
2018,Toledo,43,28
2018,Stockton,24,25
2018,Oklahoma City,66,8
2018,Fort Worth,68,16
2018,Irving,66,17
2018,Louisville,55,3
2018,Jacksonville,41,3
2018,Tucson,58,17
2018,Santa Ana,42,25
2018,Detroit,40,28
2018,Lubbock,44,15
2018,Baton Rouge,50,13
2018,Memphis,58,9
2018,Winston-Salem,48,4
2018,Laredo,67,12
2018,Fresno,42,19
2018,Hialeah,35,20
2018,Mesa,69,20
2018,Charlotte,47,1
2017,Minneapolis,233,39
