county_fips_code,emp_m,emp_n,emp_p,emp_sales,emp_service,femp_m,femp_n,femp_p,femp_sales,femp_service,flfpr_20to64,flfpr_20to64_6to17,flfpr_20to64_under6,flfpr_20to64_under6_6to17,fme_2018,funr_16,funr_20to64,h_6to17_both_work,h_6to17_fwork,h_6to17_mwork,h_6to17_single_m,h_under6_both_work,h_under6_f_work,h_under6_m_work,h_under6_single_m,hispanic,households,mcsa,me_2018,memp_m,memp_n,memp_p,memp_sales,memp_service,mhi_2018,mlfpr_20to64,mme_2018,munr_16,munr_20to64,one_race,one_race_a,one_race_b,one_race_h,one_race_i,one_race_other,one_race_w,pr_f,pr_p,total_pop,two_races,unr_16,unr_20to64
37189,34.47090909090909,9.221818181818183,6.74,25.861818181818183,23.707272727272727,36.96454545454545,0.46,3.610909090909091,33.338181818181816,25.62818181818182,70.6,73.86,69.25454545454545,75.78,12964.64090909091,7.430909090909091,5.290909090909091,2049.090909090909,1010.0909090909091,81.63636363636364,875.7272727272727,1011,520.6363636363636,31.636363636363637,447.90909090909093,3.1,20178.727272727272,130.376,14858.962727272727,32.27272727272727,16.95,9.5,19.285454545454545,21.990909090909092,39809.31545454545,77.43636363636364,16903.846363636363,9.315454545454546,7.254545454545455,97.65454545454546,0.9181818181818182,1.3363636363636364,0.01818181818181818,0.3,0.9727272727272728,94.1,11.00909090909091,27.745454545454546,50586.36363636364,2.3454545454545457,8.44,6.345454545454546
37175,29.724545454545453,14.499090909090908,11.007272727272728,21.66090909090909,23.11,34.59909090909091,0.9318181818181818,5.7672727272727276,31.183636363636364,27.518181818181816,67.21818181818182,74.67363636363636,71,90.73818181818181,20868.667272727274,6.701818181818182,6.509090909090909,1706.2727272727273,687.5454545454545,97.54545454545455,1121.3636363636363,586.4545454545455,368.54545454545456,34.72727272727273,405.8181818181818,2.6963636363636363,13680.09090909091,102.172,23252.11181818182,25.19727272727273,26.967272727272725,15.806363636363637,12.919090909090908,19.111818181818183,45815.75818181818,77.01818181818182,26576.372727272726,7.294545454545455,6.154545454545455,98.33818181818182,0.6981818181818181,4.01,0.00909090909090909,0.36363636363636365,1.9327272727272728,91.34454545454545,9.700000000000001,14.2,32395.363636363636,1.6618181818181819,6.99,6.327272727272727
37133,29.625454545454545,13.087272727272728,9.905454545454546,25.864545454545453,21.51909090909091,34.99363636363636,0.9409090909090909,4.5227272727272725,33.75181818181818,25.79090909090909,66.02727272727273,75.78454545454545,51.77272727272727,42.091818181818184,20772.053636363635,11.896363636363636,11.154545454545454,8898.272727272728,6660.090909090909,789.1818181818181,6457.818181818182,5273.727272727273,7821.181818181818,303.18181818181813,4310.181818181818,10.327272727272728,59791.90909090909,117.18,26871.381818181817,24.07,25.57090909090909,15.381818181818181,17.85181818181818,17.126363636363635,49756.810909090906,89.66363636363637,29482.453636363636,8.895454545454546,7.8545454545454545,95.73636363636363,1.9272727272727272,15.799999999999999,0.2090909090909091,0.6272727272727272,2.9727272727272727,74.18181818181819,11.254545454545454,14.127272727272727,178737.9090909091,4.263636363636364,10.445454545454545,9.59090909090909
37011,27.674545454545456,14.328181818181818,11.727272727272727,22.259090909090908,24.01090909090909,33.14727272727273,0.9109090909090909,6.911818181818182,29.348181818181818,29.68,67.48727272727272,86.05090909090909,71.32545454545455,63.838181818181816,19986.570909090908,4.524545454545454,3.5754545454545457,1011.8181818181819,298.6363636363636,44.90909090909091,431.8181818181818,336,185.0909090909091,28.636363636363637,147.27272727272728,4.4418181818181814,6974.909090909091,100.08,22678.497272727273,22.855454545454545,26.13,15.964545454545455,16.022727272727273,19.028181818181817,39933.942727272726,58.44909090909091,24587.85636363636,8.520909090909091,8.50090909090909,96.20818181818181,0.6154545454545455,3.7818181818181817,0.23,0.7009090909090909,1.3754545454545455,89.52181818181818,11.875454545454545,16.167272727272728,17744.81818181818,3.791818181818182,6.717272727272727,6.290909090909091
37125,36.66909090909091,10.086363636363636,10.186363636363636,21.39636363636364,21.65909090909091,40.95090909090909,0.9681818181818181,4.444545454545454,29.28,24.357272727272726,69.5090909090909,79.47181818181818,68.71818181818182,57.17636363636364,25308.651818181817,8.475454545454545,7.6909090909090905,5520.363636363636,2461.3636363636365,324,3257.6363636363635,2141.909090909091,1536.7272727272727,115.54545454545455,1694.2727272727273,6.009090909090909,35756.545454545456,114.842,31098.732727272727,32.63545454545454,18.7,15.61,13.94909090909091,19.10727272727273,54881.024545454544,82.48181818181818,38087.29,8.634545454545455,8.236363636363636,98.38181818181818,0.9727272727272728,13.245454545454546,0.00909090909090909,0.7181818181818181,1.3454545454545455,82.06363636363636,9.218181818181819,13.709090909090909,89492.63636363637,1.6181818181818182,8.548181818181819,7.963636363636364
37003,24.487272727272728,10.474545454545455,30.828181818181818,20.023636363636363,14.19,30.093636363636364,0.8590909090909091,20.26090909090909,28.30272727272727,20.484545454545454,70.49090909090908,78.56090909090909,68.52727272727273,67.44181818181818,23712.814545454545,9.442727272727273,8.99090909090909,2473.818181818182,1312.5454545454545,81.45454545454545,1124.4545454545455,965.5454545454545,629.1818181818181,35.72727272727273,516.1818181818181,4.172727272727273,13541,90.34,28287.255454545455,19.886363636363637,18.374545454545455,39.50909090909091,13.24,8.988181818181818,45116.428181818184,78.0909090909091,33174.953636363636,9.162727272727272,8.336363636363636,98.7090909090909,0.8636363636363636,5.409090909090909,0.10909090909090909,0.27272727272727276,2.9636363636363634,89.13636363636364,11.736363636363636,15.909090909090908,36927.36363636364,1.290909090909091,9.295454545454545,8.654545454545454
37103,27.50090909090909,16.766363636363636,16.418181818181818,21.02090909090909,18.294545454545453,32.63090909090909,2.329090909090909,10.775454545454545,28.792727272727273,25.471818181818183,66.12636363636364,67.8,67.38818181818182,67.63090909090909,23239.62,10.234545454545454,9.670909090909092,430,292.90909090909093,30.636363636363633,417.09090909090907,211.45454545454547,149.1818181818182,0.36363636363636354,164.8181818181818,4.060909090909091,4102.454545454545,96.55,26934.852727272726,22.835454545454546,29.685454545454547,21.502727272727274,14.059090909090909,11.91909090909091,39401.81545454545,76.77090909090909,31163.398181818182,10.731818181818182,10.813636363636364,98.10727272727273,0.11090909090909092,31.88818181818182,0.2545454545454545,0.3472727272727273,1.6418181818181818,63.82909090909091,15.032727272727273,19.742727272727272,10041.272727272728,1.8927272727272728,10.486363636363636,10.26
37161,27.174545454545456,11.232727272727272,22.67818181818182,20.89090909090909,18.024545454545454,35.89636363636364,0.9754545454545455,12.316363636363636,26.85909090909091,23.952727272727273,65.65454545454546,68.90727272727273,65.10909090909091,60.46545454545455,22410.736363636363,11.35,11.209090909090909,3550.181818181818,1686,347.54545454545456,2647.6363636363635,1288.909090909091,943.5454545454545,167,1221.090909090909,3.5,26786,87.734,27177.318181818184,19.26,20.635454545454547,32.121818181818185,15.395454545454545,12.586363636363636,39862.58727272727,74.35454545454546,32209.773636363636,11.838181818181818,10.681818181818182,98.55454545454546,0.4272727272727273,10.163636363636364,0,0.35454545454545455,1.481818181818182,86.11818181818182,14.590909090909092,19.59090909090909,66280.09090909091,1.4454545454545455,11.595454545454546,10.918181818181818
37107,27.736363636363638,12.68909090909091,19.07,19.78818181818182,20.72,34.02090909090909,0.7081818181818181,11.75909090909091,27.58909090909091,25.920909090909092,69.32727272727273,82.09363636363636,73.36363636363636,63.61090909090909,22832.44,11.387272727272727,9.89090909090909,2979.090909090909,1114.090909090909,346.3636363636364,3222.818181818182,1109.1818181818182,625.7272727272727,92.18181818181819,1988.3636363636363,6.5181818181818185,23797,96.432,25620.38272727273,21.804545454545455,24.033636363636365,25.997272727272726,12.436363636363636,15.733636363636364,37966.83454545454,78.39090909090909,28562.506363636363,11.15090909090909,9.827272727272728,97.84545454545454,0.5,40.054545454545455,0.01818181818181818,0.2909090909090909,2.7636363636363637,54.19090909090909,18.327272727272728,23.554545454545455,58394,2.1545454545454543,11.255454545454546,9.854545454545455
37041,30.066363636363636,11.451818181818181,16.151818181818182,22.193636363636365,20.134545454545457,35.57090909090909,1.3763636363636365,8.18,30.89818181818182,23.974545454545453,63.93636363636364,78.68181818181819,63.333636363636366,56.38090909090909,20650.47272727273,10.176363636363636,10.604545454545455,640.8181818181819,308.27272727272725,45.54545454545455,827,273.8181818181818,152.54545454545456,0.18181818181818177,386,2.8663636363636362,5883.636363636364,96.33,26756.47272727273,25.215454545454545,20.312727272727273,23.206363636363637,14.549090909090909,16.71818181818182,41360.575454545455,81.24636363636364,31402.12818181818,13.3,12.708181818181819,99.33,0.6254545454545455,34.31727272727273,0,0.9209090909090909,1.1372727272727272,62.31909090909091,16.58818181818182,22.971818181818183,14642.363636363636,0.6699999999999999,11.88090909090909,11.714545454545455
